age,income,pre_test_score,attendance_score,program_offered,program_participation,post_test_score,tau,categ
38.6,9706.0,50.33,20.0,0,0,50.33,16.629999999999995,never-taker
49.0,14394.0,55.61,25.6,0,0,55.61,33.05,complier
45.4,2764.0,35.33,6.0,0,0,35.33,18.760000000000005,never-taker
36.5,1016.0,31.86,15.8,0,0,31.86,36.41,complier
41.1,4022.0,39.57,27.3,0,0,39.57,18.15,never-taker
52.3,3580.0,37.31,26.2,0,0,37.31,18.47,never-taker
31.9,3531.0,39.58,27.8,0,0,39.58,18.15,never-taker
41.9,10994.0,49.59,28.8,1,1,79.59,33.89999999999999,complier
50.3,1298.0,32.73,53.2,0,0,32.73,36.29,complier
39.7,2039.0,33.68,9.5,1,0,33.68,18.99,never-taker
40.6,366.0,30.82,21.2,0,0,30.82,36.56,complier
43.5,3372.0,38.84,37.1,1,1,68.84,35.42,complier
51.5,12303.0,51.27,34.9,0,0,51.27,33.660000000000004,complier
40.8,3171.0,35.71,62.0,0,0,35.71,35.87,complier
41.8,15018.0,56.93,55.3,0,0,56.93,32.86000000000001,complier
41.8,1236.0,32.96,22.8,0,0,32.96,36.26,complier
55.0,2003.0,35.33,8.3,0,0,35.33,18.760000000000005,never-taker
54.9,3849.0,38.59,30.2,0,0,38.59,18.29,never-taker
49.0,11862.0,52.02,51.0,0,0,52.02,33.559999999999995,complier
45.9,2271.0,34.62,35.9,1,1,64.62,36.02,complier
47.7,390.0,31.82,9.3,0,0,31.82,19.25,never-taker
51.5,1545.0,33.15,13.9,1,0,33.15,19.06,never-taker
39.3,2508.0,35.17,25.2,1,1,65.17,35.94,complier
49.9,3155.0,38.14,36.0,1,1,68.14,35.52,complier
37.7,3295.0,36.67,10.7,0,0,36.67,18.57,never-taker
40.8,7373.0,43.0,26.9,1,1,73.0,34.83,complier
48.5,2255.0,34.93,11.1,0,0,34.93,18.81,never-taker
36.9,5980.0,41.04,10.4,1,0,41.04,17.950000000000003,never-taker
43.3,2980.0,37.4,27.2,1,0,37.4,18.46,never-taker
39.7,1194.0,34.81,23.7,1,0,34.81,18.83,never-taker
42.7,2238.0,37.17,71.3,1,1,67.17,35.66,complier
30.0,3365.0,35.19,10.2,0,0,35.19,18.78,never-taker
35.1,4444.0,41.01,6.1,1,0,41.01,17.950000000000003,never-taker
40.5,2898.0,38.74,26.1,0,0,38.74,18.27,never-taker
48.6,861.0,33.2,25.2,0,0,33.2,19.059999999999995,never-taker
43.1,1748.0,35.36,12.8,1,0,35.36,18.75,never-taker
44.0,12198.0,50.93,28.7,0,0,50.93,33.71,complier
47.4,5553.0,41.77,48.1,0,0,41.77,35.01,complier
39.6,3317.0,36.61,30.2,1,1,66.61,35.739999999999995,complier
45.4,4607.0,39.73,10.4,1,0,39.73,18.130000000000003,never-taker
40.0,8284.0,44.1,25.0,1,1,74.1,34.68,complier
35.4,14235.0,56.46,35.9,0,0,56.46,32.93,complier
42.0,1613.0,34.98,12.2,0,0,34.98,18.800000000000004,never-taker
46.9,11050.0,51.9,6.9,0,0,51.9,16.410000000000004,never-taker
45.7,1737.0,34.61,25.7,1,0,34.61,18.86,never-taker
43.9,639.0,34.0,22.7,1,0,34.0,18.94,never-taker
56.0,6055.0,42.27,21.9,0,0,42.27,17.769999999999996,never-taker
46.1,7602.0,45.04,8.0,1,0,45.04,17.380000000000003,never-taker
48.9,6233.0,41.6,62.4,0,0,41.6,35.029999999999994,complier
55.2,2630.0,35.01,24.3,0,0,35.01,18.800000000000004,never-taker
37.5,459.0,33.54,8.9,1,0,33.54,19.01,never-taker
38.8,1299.0,32.05,17.8,0,0,32.05,36.39,complier
52.7,2671.0,36.8,17.8,1,0,36.8,18.550000000000004,never-taker
40.0,25409.0,73.85,30.2,1,1,103.85,30.460000000000008,complier
44.1,3938.0,39.0,4.7,0,0,39.0,18.24,never-taker
49.3,4627.0,39.14,21.4,0,0,39.14,18.22,never-taker
48.5,1481.0,35.04,13.0,0,0,35.04,18.800000000000004,never-taker
52.8,9278.0,48.71,23.2,0,0,48.71,16.859999999999992,never-taker
51.5,328.0,32.67,78.8,1,1,62.67,36.3,complier
49.3,5534.0,42.49,9.7,0,0,42.49,17.739999999999995,never-taker
40.1,2241.0,34.25,18.5,0,0,34.25,36.06999999999999,complier
48.0,5268.0,42.23,35.9,0,0,42.23,17.78,never-taker
45.6,1685.0,35.11,37.6,1,1,65.11,35.95,complier
37.4,8037.0,46.28,22.8,1,0,46.28,17.199999999999996,never-taker
51.1,4231.0,40.64,26.8,0,0,40.64,18.0,never-taker
48.0,1961.0,36.09,48.0,0,0,36.09,35.81,complier
44.2,3455.0,39.99,27.4,0,0,39.99,18.09,never-taker
42.8,7121.0,42.06,31.7,0,0,42.06,34.97,complier
38.0,8494.0,46.45,24.3,0,0,46.45,17.18,never-taker
